"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"AmeriFirst Financial, Inc. ","07/13/2020, 12/14/2020","06/18/2021"
"Prominence Health Plan","11/30/2020","06/18/2021"
"STG International, Inc.","10/22/2020, 01/12/2021","06/16/2021"
"Herff Jones, LLC","01/11/2021","06/16/2021"
"KENNETH WEISS AND COMPANY PC ","04/27/2021","06/16/2021"
"Aspiration Financial, LLC","05/20/2021","06/16/2021"
"Archbishop Mitty High School","05/17/2020","06/16/2021"
"Ally Financial Inc","02/18/2021","06/15/2021"
"HOYA Optical Labs of America, Inc.","03/15/2021","06/11/2021"
"NEC Networks, LLC d/b/a CaptureRx","02/06/2021","06/11/2021"
"San Dieguito Union High School District","04/12/2021","06/11/2021"
"Maricopa County Community Colleges District","03/12/2021, 03/16/2021","06/10/2021"
"Volkswagen Group of America, Inc. ","","06/10/2021"
"Alderson Broaddus University (“Alderson Broaddus”)","01/22/2021, 01/27/2021","06/10/2021"
"AireSpring, Inc.","04/07/2021","06/10/2021"
"Warren Resources, Inc.","04/14/2021, 04/17/2021","06/09/2021"
"Hnilo Naturals LLC","10/01/2020","06/09/2021"
"Progrexion ASG, Inc. ","03/03/2021, 04/22/2021","06/09/2021"
"HCI LLC","02/21/2020","06/08/2021"
"Public Allies","","06/07/2021"
"Victor Valley Union High School District","02/26/2021","06/03/2021"
"Supplemental Income Trust Fund; MonRoc Administrators LLC","03/22/2021","06/03/2021"
"DiCon Fiberoptics, Inc.","03/14/2021, 03/16/2021","06/03/2021"
"City of Azusa Police Department","03/09/2021","06/02/2021"
"Scripps Health","04/29/2021","06/01/2021"
"20/20 Eye Care Network, Inc.","01/11/2021","05/29/2021"
"USA Waste-Management Resources, LLC","01/21/2021, 01/23/2021","05/28/2021"
"STG Holdings, LLC (""STG"")","05/03/2020, 05/19/2020","05/27/2021"
"Plains Commerce Bank","12/10/2020, 01/15/2021","05/27/2021"
"Accucom Corporation","05/25/2020, 12/16/2020","05/27/2021"
"Underwriters Laboratories Inc and UL Inc.","10/17/2020, 02/13/2021","05/26/2021"
"Building Material Distributors, Inc.","09/18/2020","05/26/2021"
"Sugarfina USA, LLC","11/01/2019, 09/03/2020","05/25/2021"
"Infinity Insurance Company","01/07/2021, 04/04/2021","05/25/2021"
"Custom Benefit Programs, Inc., an Aon Company","12/17/2020","05/21/2021"
"Atrium Windows and Doors, Inc","12/24/2020","05/21/2021"
"Defender Industries, Inc.","11/22/2020","05/21/2021"
"ZocDoc, Inc.","","05/20/2021"
"Rehoboth McKinley Christian Health Care Services","01/21/2021","05/19/2021"
"Health Plan of San Joaquin (HPSJ)","09/26/2020, 10/12/2020","05/18/2021"
"The NOCO Company (""NOCO"")","10/08/2019, 03/23/2021","05/18/2021"
"Marshall Medical Center","02/06/2021","05/18/2021"
"Phillip Galyen PC","03/01/2021","05/14/2021"
"REEF Global Inc.","09/30/2020, 10/15/2020","05/14/2021"
"M Bar C Construction","07/09/2020","05/14/2021"
"University of California","12/24/2020","05/13/2021"
"County of Orange Social Services Agency (OCSSA)","","05/13/2021"
"Midvale Indemnity Company","01/19/2021, 01/29/2021","05/13/2021"
"American Family Mutual Insurance Company, S.I.","02/06/2021, 03/19/2021","05/13/2021"
"Sacramento County IHSS Public Authority","02/28/2021","05/12/2021"
"Oak Valley Community Bank ","02/01/2021, 02/02/2021","05/11/2021"
"CA Department of State Hospitals","","05/11/2021"
"State Automobile Mutual Insurance Company","03/11/2021, 03/31/2021","05/11/2021"
"Aspen Education Group, Inc.","12/13/2020","05/10/2021"
"SAC Health System","11/15/2020, 11/22/2020","05/10/2021"
"San Diego Family Care","12/03/2021","05/09/2021"
"Arabian Horse Association","02/20/2021, 03/31/2021","05/07/2021"
"Anchor Loans, LP (""Anchor Loans"")","02/22/2021","05/07/2021"
"Exceltox Laboratories","02/15/2021","05/07/2021"
"TradeSource, Inc.","12/27/2020","05/07/2021"
"Telmate, LLC","08/13/2020","05/07/2021"
"SEIU 775 Benefits Group","04/04/2021","05/07/2021"
"Farmers Insurance","01/20/2021","05/04/2021"
"21st Century Insurance Company","01/20/2021","05/04/2021"
"Divvy Up, Inc.","12/01/2020, 03/08/2021","05/03/2021"
"Northern California Medical Associates, Inc.","02/19/2021, 03/03/2021","05/03/2021"
"OHL North America","03/18/2021","05/03/2021"
"Sonus Hearing Care Professionals","03/05/2021","05/03/2021"
"St. John’s Well Child and Family Center, Inc. ","02/03/2021","04/29/2021"
"Community Eldercare of San Diego dba St. Paul's PACE","12/31/2020, 01/02/2021","04/29/2021"
"Insurance Technologies Corporation, on behalf of the insurance brokers listed in Exhibit A of ""ITC - Notification to California AG - Apr 29.""","02/27/2021","04/29/2021"
"ClearVoiceResearch.com, LLP","04/16/2021","04/29/2021"
"Natural Habitat, Inc. (""Nat Hab"")","09/24/2020","04/28/2021"
"Capital Brands Distribution, LLC","01/05/2021","04/27/2021"
"Med-Data Incorporated","12/01/2018, 09/30/2019","04/26/2021"
"Doctors Medical Center of Modesto ","12/01/2019","04/23/2021"
"Foodland Super Market, Limited; Kalama Beach Corporation; Coffee Pacific LLC; Pacific Sweets, LLC; Food Pantry, Ltd.","03/17/2021, 04/03/2021","04/23/2021"
"Smith and Company","03/23/2021","04/22/2021"
"Health Center Partners of Southern California","10/22/2020, 12/03/2020","04/21/2021"
"Blade HQ","01/07/2021","04/19/2021"
"Administrative Advantage, LLC obo Remedy Medical Group","06/23/2020, 07/09/2020","04/16/2021"
"Fort Hays State University Foundation","02/07/2021, 05/20/2020","04/16/2021"
"Government Employees Insurance Company","01/21/2021, 03/01/2021","04/15/2021"
"FPI Management, Inc.","08/06/2020","04/15/2021"
"AmeriFirst Financial, Inc.","12/02/2020, 12/03/2020, 12/04/2020, 12/05/2020, 12/06/2020, 12/06/2020, 12/07/2020, 12/08/2020, 12/09/2020, 12/10/2020","04/15/2021"
"Don Roberto Jewelers, Inc.","03/03/2021, 02/16/2021","04/15/2021"
"Seven Hills School","02/07/2020, 05/20/2020","04/13/2021"
"VEP Healthcare, Inc.","11/15/2019, 01/20/2020","04/13/2021"
"Ascentium Corporation dba SMITH","12/24/2020","04/13/2021"
"On Q Financial, Inc.","02/22/2021, 02/21/2021","04/12/2021"
"Hamilton Beach Brands","12/18/2020, 02/04/2021","04/09/2021"
"American College of Emergency Physicians (""ACEP"")","04/08/2020, 09/21/2020","04/09/2021"
"McDougall & Sons, Inc.","01/10/2021","04/09/2021"
" MailMyPrescriptions.com Pharmacy Corporation ","02/03/2020","04/08/2021"
"Neighborhood Healthcare","11/24/2020, 12/03/2020","04/08/2021"
"Atlantic Media, Inc.","02/25/2021, 03/01/2021","04/07/2021"
"American Society for Clinical Pathology","03/30/2020, 11/06/2020","04/07/2021"
"Minnetonka Moccasin Company, Inc.","11/25/2020","04/06/2021"
"Marines' Memorial Association & Foundation ","05/20/2020","04/06/2021"
"Active Lifestyle Products & Services, Inc., d/b/a as ALPS Brands ","04/20/2020","04/05/2021"
"Trinity Health","01/20/2021","04/05/2021"
"CA Department of State Hospitals","02/01/2019","04/05/2021"
"Maternity IP Holdings, LLC","","04/02/2021"
"Slate & Tell LLC","03/01/2020, 01/07/2021, 01/10/2021, 01/15/2021","04/02/2021"
"Crestline Hotels & Resorts, LLC","05/25/2020, 05/30/2020","04/02/2021"
"Bricker & Eckler LLP","01/14/2021","04/02/2021"
"MHNext, LLC","02/01/2021","04/02/2021"
"USG Insurance Services, Inc.","10/27/2020","04/01/2021"
"Suburban Collection Holdings, LLC","07/04/2020, 07/16/2020","03/31/2021"
"Liberty Mutual Group, Inc. ","11/21/2020, 01/21/2021, 03/06/2021, 03/12/2021","03/30/2021"
"Americold Realty Trust","","03/30/2021"
"La Clinica de La Raza, Inc. (La Clinica)","01/12/2021","03/29/2021"
"BioTel Heart (a trade name under which both CardioNet, LLC and LifeWatch, Inc. operate)","08/09/2020","03/26/2021"
"Santa Catalina School","02/07/2020, 05/20/2020","03/26/2021"
"Capital One","03/22/2019, 03/23/2019","03/26/2021"
"Health Net of California","01/07/2021","03/25/2021"
"Health Net Life Insurance Company","01/07/2021","03/25/2021"
"Health Net Community Solutions","01/07/2021","03/25/2021"
"CalViva Health","01/07/2021","03/25/2021"
"California Health & Wellness","01/07/2021","03/25/2021"
"Rosa Mexicano Company","10/06/2020, 11/04/2020","03/25/2021"
"The National Wildlife Federation","02/06/2019, 12/10/2020","03/24/2021"
"Capcom U.S.A., Inc.","11/01/2021","03/24/2021"
"Ascentium inc. and Ascentium Corp. (Smith)","12/24/2020, 02/24/2021","03/23/2021"
"State Controller's Office","03/18/2021, 03/19/2021","03/23/2021"
"Hagerty Insurance Agency, LLC","02/02/2021","03/23/2021"
"Solairus Aviation","12/06/2020, 12/07/2020","03/22/2021"
"PCS Revenue Control Systems","12/20/2019","03/22/2021"
"Victor Community Support Services","01/19/2021","03/19/2021"
"Brandman Centers for Senior Care","12/28/2020","03/19/2021"
"Cancer Treatment Centers of America at Midwestern Regional Medical Center","01/12/2021, 01/13/2021, 01/14/2021, 01/17/2021","03/19/2021"
"SunMed Group Holdings, LLC","10/11/2020","03/19/2021"
"Insulet Corporation","01/13/2021","03/19/2021"
"Jefit, Inc.","09/13/2021","03/18/2021"
"CA Department of State Hospitals","11/06/2020, 11/09/2020, 11/10/2020, 11/13/2020, 12/03/2020, 12/11/2020, 12/14/2020, 12/17/2020, 12/18/2020, 01/04/2021, 01/05/2021, 01/08/2021, 01/11/2021, 01/12/2021, 01/15/2021, 01/22/2021, 01/25/2021, 02/03/2021, 02/05/2021","03/17/2021"
"Western Union Financial Services, Inc.","12/24/2020","03/17/2021"
"Infinity Insurance Company","12/14/2020, 12/27/2020","03/16/2021"
"Channel Control Merchants, LLC (“CCM”)","10/15/2020, 11/05/2020","03/16/2021"
"Automation Personnel Services, Inc.","11/17/2020","03/16/2021"
"Quality CPR Care LLC dba American CPR Care Association","06/01/2021, 11/15/2020","03/15/2021"
"CPR AED Course LLC dba American Health Care Academy","06/01/2020, 11/15/2020","03/15/2021"
"Alameda-Contra Costa Transit District","04/07/2020, 08/16/2020","03/15/2021"
"Flagstar Bank, FSB","01/20/2021","03/15/2021"
"Golden Gate Regional Center ","09/23/2020","03/12/2021"
"Central California Alliance for Health","04/28/2020, 05/07/2020, 05/08/2020","03/11/2021"
"Security Industry Specialists","06/01/2020","03/11/2021"
"Pan-American Life Insurance Group","02/16/2021","03/11/2021"
"Island Hotel Company Limited doing business as Atlantis Paradise Island","10/17/2020, 10/19/2020","03/09/2021"
"Humana Inc","10/12/2020","03/08/2021"
"Metromile Insurance Company","12/01/2020, 01/20/2021","03/06/2021"
"The American Armed Forces Mutual Aid Association","01/28/2021, 01/31/2021","03/05/2021"
"Los Angeles Philharmonic Association","12/03/2020, 12/16/2020","03/04/2021"
"Saint Alphonsus Health System","01/04/2021, 01/06/2021","03/04/2021"
"Root Insurance Company","01/21/2021, 01/28/2021","03/04/2021"
"Americold Realty Trust","10/29/2020, 11/16/2020","03/04/2021"
"La Jolla Country Day School","02/20/2020, 05/20/2020","03/03/2021"
"Hurtigruten","12/14/2020","03/02/2021"
"The Hartford Fire Insurance Company","12/01/2020, 02/03/2021","03/02/2021"
"Cardinal Logistics Management Corp.","10/20/2020","03/02/2021"
"BSN Sports, LLC","04/24/2019, 01/05/2021","02/26/2021"
"Santa Rosa Community Health Centers","01/29/2020","02/26/2021"
"Backroads","10/02/2020","02/26/2021"
"Arrow Truck Sales, Inc.","11/16/2020","02/26/2021"
"International Medical Corps","02/07/2020, 05/20/2020","02/26/2021"
"Summit Behavioral Healthcare, LLC","05/12/2020, 05/20/2020","02/26/2021"
"CertifiedSafety, Inc.","06/12/2020","02/25/2021"
"Kaiser Foundation Hospitals, Northern California","01/01/2015, 12/28/2020","02/23/2021"
"Principal Life Insurance Company","02/05/2021","02/23/2021"
"Worldwide Facilities, LLC","","02/22/2021"
"San Francisco University High School","02/07/2020, 05/20/2020","02/22/2021"
"ITOCHU International Inc. (""III"")","09/08/2020, 09/09/2020","02/22/2021"
"E & J Gallo Winery","11/07/2020, 11/17/2020","02/19/2021"
"The Kroger Co. and its affiliated companies (“Kroger”)","12/24/2020, 12/25/2020, 12/26/2020, 12/27/2020, 12/28/2020, 12/29/2020","02/19/2021"
" Sequoia Capital Operations, LLC","01/07/2021","02/18/2021"
"AxleHire Inc. ","01/31/2021","02/17/2021"
"Alicia Surgery Center ","10/24/2021","02/16/2021"
"Harvard Eye Associates","10/24/2020","02/16/2021"
"Apprentice and Journeymen Training Trust Fund of the Southern California Plumbing & Piping Industry","10/14/2020, 10/16/2020","02/16/2021"
"Citywide Home Loans, LLC","11/18/2020, 12/02/2020","02/16/2021"
"Elwyn","10/09/2019, 07/21/2020","02/11/2021"
"Rakuten USA, Inc. DBA Rakuten Americas","01/21/2021","02/11/2021"
"Jet Aviation","12/06/2020","02/10/2021"
"Abacus Data Systems, Inc.","12/28/2020","02/10/2021"
"Westlake Hardware, Inc.","08/21/2020, 08/30/2020","02/10/2021"
"Sutter Buttes Imaging Medical Group, Inc.","07/01/2019, 12/07/2020","02/09/2021"
"Life Quotes, Inc.","10/19/2020","02/05/2021"
"Southern California Center for Anti-Aging","12/09/2020","02/05/2021"
"Syracuse University","09/24/2020, 09/28/2020","02/05/2021"
"Carnival Corporation and plc","08/04/2020","02/04/2021"
"Traffic Solutions Corporation, doing business as Statewide Safety Systems ","06/01/2018","02/04/2021"
"Granite Wellness Centers","","02/04/2021"
"The Oakwood School","02/07/2020, 05/20/2020","02/03/2021"
"U.S. Bank, N.A. ","07/30/2020","02/03/2021"
"Porter & Curtis LLC","02/12/2020, 03/18/2020","02/02/2021"
"Ardent Credit Union","06/05/2020","02/02/2021"
"San Francisco Conservatory of Music ","05/20/2020","01/29/2021"
"SN Servicing Corporation","10/14/2020","01/29/2021"
"Brotherhood’s Relief & Compensation Fund","01/03/2021","01/29/2021"
"Made In Oregon","02/01/2020","01/29/2021"
"Wind River Systems, Inc.","09/16/2020","01/29/2021"
"Rochelle Margucci, EA","08/07/2020","01/27/2021"
"Diversified Gas & Oil Corporation ","11/17/2020, 11/25/2020","01/27/2021"
"Auris Health, Inc.","03/15/2020","01/27/2021"
"thyssenkrupp Materials","12/28/2020","01/26/2021"
"Bosley, Inc.","08/17/2020","01/26/2021"
"National Western Life Insurance Company ","08/07/2020, 08/10/2020","01/25/2021"
"Einstein Healthcare Network","08/05/2020, 08/17/2020","01/25/2021"
"American Frame Corporation","08/01/2020","01/25/2021"
"Arraycon LLC","12/20/2020, 01/13/2021","01/22/2021"
"Communications Workers of America","","01/22/2021"
"St. Francis Catholic High School","05/01/2020","01/22/2021"
"Direct Energy LP, together with its affiliates First Choice Power, LLC and Home Warranty of America, Inc.","11/03/2020","01/21/2021"
"Fairmont Private Schools","02/20/2020, 05/20/2020","01/19/2021"
"Wildwood School","02/20/2020, 05/20/2020","01/19/2021"
"ALE Solutions, Inc.","","01/18/2021"
"Shift Technologies, Inc.","09/07/2020","01/14/2021"
"Waters & Kraus LLP","12/05/2019, 05/15/2020","01/13/2021"
"The Archer School for Girls","02/07/2020, 05/20/2020","01/13/2021"
"National Board for Certified Counselors, Inc. ","08/31/2020, 09/07/2020","01/12/2021"
"Sedgwick Claims Management Services, Inc.","","01/12/2021"
"Los Angeles Community College District","","01/12/2021"
"American Federation of Musicians and Employers' Pension Fund","05/22/2020, 08/18/2020","01/11/2021"
"Veritex Holdings Inc.","04/02/2020, 04/27/2020","01/11/2021"
"American Anesthesiology, Inc. ","06/17/2020, 06/22/2020","01/08/2021"
"US Fertility LLC","08/12/2020, 09/14/2020","01/08/2021"
"Creal & Creal, An Accountancy Corporation","09/10/2020","01/08/2021"
"American Health Information Management Association (AHIMA)","07/26/2020, 10/01/2020","01/06/2021"
"Francis Parker School","02/20/2020","01/05/2021"
"Matson Navigation Company","10/14/2020","01/04/2021"
"Peter Pan Seafoods, Inc.","12/12/2020","01/04/2021"
"Anchor General Insurance Agency, Inc. (""Anchor General"")","08/03/2020","01/02/2021"
"Life Quotes, Inc.","10/19/2020","12/31/2020"
"Zoetop Business Co. Ltd.","07/14/2018","12/30/2020"
"International Union of Bricklayers and Allied Craftworkers","06/04/2020, 07/10/2020","12/30/2020"
"Sugar Bowl Corporation","10/09/2020","12/30/2020"
"Valley Presbyterian Hospital","05/14/2020, 05/20/2020","12/30/2020"
"Dickey's Barbecue Pit","06/09/2019, 11/24/2020","12/29/2020"
"Total Vision, PC","10/30/2020","12/28/2020"
"Tree Top, Inc. and Northwest Naturals LLC","11/10/2020","12/23/2020"
"DJO Global, Inc. ","11/08/2020, 11/09/2020","12/23/2020"
"JPMorgan Chase Bank, N.A.","04/06/2020","12/23/2020"
"Ultra Clean Holdings, Inc.","08/03/2020, 08/04/2020","12/23/2020"
"MEDNAX Services, Inc.","07/02/2020, 07/03/2020","12/23/2020"
"Metabolic Maintenance Products, Inc.","10/01/2019, 08/20/2020","12/23/2020"
"NetGalley, LLC","12/21/2020","12/23/2020"
"U.S. Bank, N.A. ","07/30/2020","12/22/2020"
"Southbeachsmoke.com; directvapor.com; vaporfi.com","09/14/2020","12/21/2020"
"Capital Lumber Company","07/27/2020, 09/06/2020","12/18/2020"
"GenRx Pharmacy","09/27/2020, 09/28/2020","12/18/2020"
"Agoura Health Products, LLC dba Gundry MD","08/06/2020","12/17/2020"
"II-VI Incorporated ","11/19/2020","12/17/2020"
"Paysafe Group Holdings Limited","05/13/2018, 11/24/2020","12/16/2020"
"MEDNAX Services, Inc. ","06/17/2020, 06/22/2020","12/16/2020"
"Monterey  Bay Air Resources District","11/23/2020","12/15/2020"
"Sonoma Recovery Services, LLC d/b/a Olympia House","07/01/2020, 08/07/2020","12/15/2020"
"Belden Inc.","","12/14/2020"
"Grass Valley USA, LLC","","12/14/2020"
"Aetna","06/24/2020","12/11/2020"
"H.N.R. Clark, Inc.","09/01/2020, 10/31/2020","12/10/2020"
"KeyPoint Credit Union","08/13/2020","12/09/2020"
"Sonoma Valley Healthcare District","09/10/2020, 10/11/2020","12/09/2020"
"Spotify USA Inc.","04/09/2020","12/09/2020"
"Robie & Matthai APC","05/07/2020","12/09/2020"
"Glofox Inc. ","09/26/2020","12/09/2020"
"U.S. Bank, N.A.","07/30/2020","12/09/2020"
"Woodruff Sawyer & Co.","03/02/2020, 04/30/2020","12/08/2020"
"Diocese of Charlotte","02/20/2020, 05/20/2020","12/06/2020"
"Angeion Group","03/30/2020, 05/04/2020","12/04/2020"
"Eaze Technologies, Inc.","09/24/2020, 10/05/2020, 10/08/2020, 10/10/2020, 10/11/2020, 10/12/2020, 10/13/2020, 10/14/2020, 10/20/2020, 10/21/2020, 10/22/2020, 10/23/2020, 10/24/2020, 10/25/2020, 10/26/2020, 10/27/2020, 10/28/2020, 10/29/2020, 10/30/2020, 10/31/2020, 11/01/2020","12/03/2020"
"The Long & Foster Companies, Inc.","08/22/2020","12/01/2020"
"MetaBrainz Foundation Inc.","04/26/2019, 11/22/2020","12/01/2020"
"Florida State College at Jacksonville Foundation","02/07/2020, 05/20/2020","11/30/2020"
"Etz Hayim Holdings, SPC. d/b/a Lazarus Naturals","09/05/2020, 09/14/2020","11/30/2020"
"Minerals Technologies Inc.","10/20/2020","11/30/2020"
"Canon U.S.A., Inc.","07/20/2020, 08/06/2020","11/25/2020"
"Fairchild Medical Center","12/16/2015","11/25/2020"
"ZEG – Berlin Center for Epidemiology and Health Research GMBH","07/07/2020","11/25/2020"
"University of Minnesota Physicians","01/30/2020, 02/04/2020","11/25/2020"
"The Center for Early Education","02/07/2020, 05/20/2020","11/24/2020"
"Atlas Mechanical, Inc.","10/11/2020","11/24/2020"
"Merchant One, Inc.","02/24/2020","11/23/2020"
"U.S. Bank, N.A. ","07/30/2020","11/23/2020"
"Steel Partners Holdings L.P.","04/18/2020, 04/29/2020","11/23/2020"
"Indian Health Council Inc.","09/22/2020","11/20/2020"
"River City Bank","09/29/2020","11/20/2020"
"Golden Gate Regional Center ","09/23/2020","11/20/2020"
"Backroads","10/02/2020","11/19/2020"
"Windstream Holdings II, LLC","07/11/2020","11/18/2020"
"International Cosmetics & Perfumes,","04/29/2020, 05/18/2020","11/17/2020"
"1919 Investment Counsel LLC","09/21/2020","11/13/2020"
"University of California San Francisco","06/01/2020","11/13/2020"
"Hutchison School","05/20/2020","11/12/2020"
"BarristerBooks, Inc.","07/07/2020, 09/11/2020","11/11/2020"
"Cantella & Co., Inc.","08/25/2020","11/10/2020"
"San Dieguito Union High School District","04/01/2019, 01/28/2020","11/09/2020"
"Bruce L. Boros, M.D., P.A. DBA Advanced Urgent Care","03/01/2020","11/06/2020"
"Camrosa Water District","08/20/2019, 08/13/2020","11/06/2020"
"California Physicians' Services d/b/a Blue Shield of California","10/16/2020, 10/17/2020, 10/18/2020, 10/19/2020, 10/20/2020","11/06/2020"
"U.S. Bank, N.A.","07/30/2020","11/06/2020"
"VF Outdoor, LLC doing business as The North Face®","10/08/2020, 10/09/2020","11/05/2020"
"National Railroad Corporation","","11/04/2020"
"Woodland Unified School District","11/04/2019","11/04/2020"
"Methodist Hospital of Southern California","02/01/2020, 05/31/2020","11/04/2020"
"The GEO Group Inc.","07/17/2020, 08/19/2020","11/03/2020"
"Stetson University, Inc.","02/07/2020, 05/20/2020","11/03/2020"
"Health Formula Inc.","04/24/2020","11/02/2020"
"Imperial Community College District","08/05/2020, 08/06/2020","11/02/2020"
"SiteOne Landscape Supply, Inc.","07/02/2020, 07/14/2020","10/30/2020"
"L.A. Tax Service, LLP  ","06/10/2020, 09/09/2020","10/30/2020"
"Rady Children’s Hospital – San Diego and Rady Children’s Hospital Foundation – San Diego","02/07/2020, 06/04/2020","10/29/2020"
"CCPOA Benefit Trust Fund","09/02/2020","10/29/2020"
"JM Bullion, Inc.","01/01/2020, 07/17/2020","10/28/2020"
"U.S. Bank, N.A.","07/30/2020","10/28/2020"
"TrueFire LLC","02/21/2020","10/27/2020"
"Athenian School","02/07/2020","10/27/2020"
"Living Beyond Breast Cancer","02/07/2020, 05/20/2020","10/27/2020"
"Alcorn Fence Company","04/19/2020","10/26/2020"
"Tailored Brands, Inc.","10/10/2019, 01/28/2020","10/26/2020"
"Ascend Clinical LLC","04/21/2020","10/26/2020"
"Trinity Health","08/18/2020, 05/16/2020","10/23/2020"
"UAMG, LLC","09/17/2020, 09/18/2020, 09/18/2020, 09/19/2020, 09/20/2020, 09/21/2020, 09/22/2020, 09/23/2020","10/23/2020"
"Fragomen, Del Rey, Bernsen & Loewy, LLP","07/01/2020, 07/16/2020","10/23/2020"
"Alameda Health System","04/08/2020, 04/09/2020","10/22/2020"
"Sam's Club","09/24/2020","10/21/2020"
"U.S. Bank, N.A.","07/30/2020","10/21/2020"
"Mount Diablo Unified School District","09/14/2020","10/20/2020"
"City of Torrance, California","03/01/2020","10/18/2020"
"Wyndham Capital Mortgage, Inc.","09/18/2020","10/16/2020"
"Accident Insurance Company ","04/13/2020","10/15/2020"
"Center for Autism and Related Disorders","","10/15/2020"
"One Workplace Ferrari, LLC dba One Workplace","08/14/2020","10/14/2020"
"U.S. Bank, N.A. ","07/30/2020","10/14/2020"
"Made In Oregon","02/03/2020, 08/28/2020","10/13/2020"
"Carnival Corporation and plc","08/04/2020","10/13/2020"
"Georgia Southern University","02/07/2020, 05/20/2020","10/09/2020"
"Terminix Global Holdings","09/10/2020, 09/22/2020","10/09/2020"
"Keith Fabry","08/09/2020, 02/27/2020","10/09/2020"
"","","10/09/2020"
"Law Office of Robert  T. Bledsoe","","10/05/2020"
"American Symphony Orchestra League","05/01/2020","10/05/2020"
"PupBox, c/o Petco Animal Supplies Stores, Inc.","02/11/2020","10/02/2020"
"St. Paul Center for Biblical Theology","03/03/2020, 08/09/2020","10/02/2020"
"FRIEDMAN & COMPANY CPA","09/21/2020, 09/28/2020","10/01/2020"
"University Muslim Medical Association ","06/29/2020","09/29/2020"
"CBD Industries, LLC","03/30/2020, 05/08/2020, 05/14/2020, 05/18/2020","09/29/2020"
"U.S. Bank, N.A. ","07/30/2020","09/29/2020"
"EyeMed Vision Care LLC","06/24/2020, 07/01/2020","09/28/2020"
"Vermont Student Assistance Corporation","02/07/2020, 05/20/2020","09/25/2020"
"Mono County","04/09/2020, 07/14/2020","09/25/2020"
"Southern Mono Healthcare District d/b/a Mammoth Hospital ","09/05/2020","09/24/2020"
"RadNet, Inc.","07/18/2020","09/18/2020"
"FabFitFun. Inc.","04/26/2020, 05/22/2020","09/18/2020"
"Joslin Diabetes Center, Inc.","05/14/2020, 05/20/2020","09/18/2020"
"Rocklin Unified School District","","09/18/2020"
"U.S. Bank, N.A.","07/30/2020","09/18/2020"
"Greenworks Tools ","07/14/2019, 06/30/2020","09/17/2020"
"Episcopal Community Services","02/07/2020","09/17/2020"
"California Dialysis Management Services, Inc.","","09/16/2020"
"BMB Associates","","09/15/2020"
"Inova Health System","02/07/2020, 05/20/2020","09/15/2020"
"Baylor Genetics","09/24/2019, 11/14/2019","09/14/2020"
"Medical Depot, Inc., d/b/a Drive DeVilbiss Healthcare","05/25/2020","09/14/2020"
"Northern Light Health","05/14/2020","09/14/2020"
"Emanate Health Foundation","02/07/2020","09/11/2020"
"CorePower Yoga, LLC","11/07/2019, 02/03/2020","09/11/2020"
"STG Logistics ","07/27/2019, 09/17/2019","09/11/2020"
"Enloe Medical Center","05/14/2020, 05/20/2020","09/10/2020"
"LiveAuctioneers, LLC","06/19/2020","09/10/2020"
"Promo.com Ltd.","06/22/2020, 06/25/2020","09/06/2020"
"Advantage Capital Funding, LLC","02/06/2020, 03/06/2020","09/04/2020"
"Polycystic Kidney Disease Foundation","05/01/2020","09/04/2020"
"Artech, L.L.C.","01/05/2020, 01/08/2020","09/04/2020"
"Vermont Student Assistance Corporation","02/07/2020, 05/20/2020","09/04/2020"
"INTEGRIS Baptist Medical Center, Inc.","10/17/2019","09/04/2020"
"Hydrocephalus Association","02/07/2020, 05/20/2020","09/04/2020"
"Sekure Merchant Solutions","01/24/2020, 01/27/2020","09/03/2020"
"Osmose Utilities Services, Inc.","07/06/2020","09/03/2020"
"Warner Music Group","04/25/2020","09/02/2020"
"Nutranext, LLC","05/27/2020","09/02/2020"
"Coast Financial Services","05/06/2020","09/01/2020"
"Ferris Marketing, Inc. ","11/01/2020, 06/05/2020","08/31/2020"
"Stericycle, Inc.","10/01/2019, 04/08/2020","08/31/2020"
"Assured Imaging","05/19/2020","08/31/2020"
"American Payroll Institute, Inc. (APA); Global Payroll Management Institute, Inc. (GPMI)","05/13/2020","08/31/2020"
"Havenly, Inc.","06/25/2020","08/31/2020"
"Amphastar Pharmaceuticals, Inc.","05/02/2020","08/28/2020"
"The Jane Goodall Institute","","08/28/2020"
"PULAU Corporation","06/11/2020, 06/29/2020","08/28/2020"
"Mechanics Bank, dba CRB Auto","02/14/2020","08/28/2020"
"Williams Hart Boundas Easterby LLP","05/12/2020","08/28/2020"
"AliMed, Inc.","06/01/2019, 06/17/2020","08/28/2020"
"Lemoore Union High School","11/04/2019","08/27/2020"
"Crystal Stairs, Inc.","05/20/2020","08/26/2020"
"Combe Incorporated","03/02/2020, 04/13/2020","08/26/2020"
"Westcor Land Title Insurance Company","01/10/2020","08/25/2020"
"Brown-Forman Corporation","04/14/2020","08/25/2020"
"ArbiterSports","06/03/2020, 07/14/2020","08/24/2020"
"Energy One Federal Credit Union","06/04/2020, 06/16/2020","08/21/2020"
"Cetera Financial Group, Inc.","04/06/2020","08/21/2020"
"Dave, Inc.","06/23/2020, 07/01/2020, 06/27/2020","08/20/2020"
"Saint Luke's Foundation","02/07/2020, 05/20/2020","08/20/2020"
"Pacific Huntington Hotel Corporation ","04/10/2020, 04/28/2020","08/20/2020"
